Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,23/12/2020,WAS,@,PHI,"L, 107-113",*,28:06:00,2,2,1,2,2,1,0,0,,1.5,1,2,0.5,0,4,4,1,1,0,1,3,7,6.7,14
2,2,2,26/12/2020,WAS,,ORL,"L, 120-130",*,14:40,2,2,1,1,1,1,1,1,1,1.25,0,1,0,0,3,3,2,0,0,0,4,5,4.7,-7
3,3,3,27/12/2020,WAS,,ORL,"L, 113-120",*,36:11:00,4,11,0.364,1,5,0.2,3,6,0.5,0.409,0,0,,2,7,9,3,2,0,1,1,9,9.1,13
4,4,4,29/12/2020,WAS,,CHI,"L, 107-115",*,26:19:00,3,6,0.5,3,5,0.6,0,1,0,0.75,0,0,,0,4,4,4,2,1,1,5,9,9.7,-5
5,5,5,31/12/2020,WAS,,CHI,"L, 130-133",*,24:32:00,2,5,0.4,0,3,0,2,2,1,0.4,2,2,1,1,3,4,3,0,0,0,1,6,6.6,5
6,6,6,01/01/2021,WAS,@,MIN,"W, 130-109",*,27:14:00,4,7,0.571,3,5,0.6,1,2,0.5,0.786,0,0,,0,7,7,3,3,0,1,3,11,12.7,32
7,7,7,03/01/2021,WAS,@,BRK,"W, 123-122",*,16:23,1,4,0.25,1,2,0.5,0,2,0,0.375,0,0,,0,1,1,1,1,1,1,2,3,1.5,-9
8,8,8,06/01/2021,WAS,@,PHI,"L, 136-141",*,15:31,0,1,0,0,1,0,0,0,,0,1,2,0.5,0,0,0,0,0,1,0,3,1,-0.6,-9
9,9,9,08/01/2021,WAS,@,BOS,"L, 107-116",*,14:25,0,3,0,0,2,0,0,1,0,0,0,0,,0,2,2,1,0,0,0,2,0,-1.6,-21
10,10,10,09/01/2021,WAS,,MIA,"L, 124-128",*,31:38:00,7,15,0.467,5,9,0.556,2,6,0.333,0.633,1,1,1,0,5,5,5,2,0,0,2,20,18.5,-4
11,11,11,11/01/2021,WAS,,PHO,"W, 128-107",*,19:48,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,1,4,5,1,0,0,2,3,6,2.4,3
11,,12,24/01/2021,WAS,@,SAS,"L, 101-121",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,,13,26/01/2021,WAS,@,HOU,"L, 88-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,,14,27/01/2021,WAS,@,NOP,"L, 106-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,,15,29/01/2021,WAS,,ATL,"L, 100-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,16,31/01/2021,WAS,,BRK,"W, 149-146",*,15:41,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,1,1,2,0,0,0,0,2,2,-0.2,-9
13,13,17,02/02/2021,WAS,,POR,"L, 121-132",*,23:04,5,6,0.833,2,3,0.667,3,3,1,1,1,1,1,3,4,7,3,0,0,0,3,13,15,4
14,14,18,03/02/2021,WAS,@,MIA,"W, 103-100",*,32:55:00,5,9,0.556,3,5,0.6,2,4,0.5,0.722,0,0,,0,4,4,0,1,0,2,2,13,8.1,-9
