Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
15,15,19,05/02/2021,WAS,@,MIA,"L, 95-122",*,16:06,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,6,6,0,1,1,0,3,4,3.6,-11
16,16,20,07/02/2021,WAS,@,CHO,"L, 97-119",*,15:25,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,2,2,2,0,0,1,1,4,1.9,-22
17,17,21,08/02/2021,WAS,@,CHI,"W, 105-101",,28:27:00,2,9,0.222,0,5,0,2,4,0.5,0.222,0,2,0,0,10,10,1,3,0,1,4,4,1.8,15
18,18,22,10/02/2021,WAS,,TOR,"L, 115-137",,26:40:00,3,7,0.429,2,6,0.333,1,1,1,0.571,1,2,0.5,1,6,7,3,0,0,2,3,9,6.3,-11
19,19,23,12/02/2021,WAS,,NYK,"L, 91-109",,21:30,3,9,0.333,1,5,0.2,2,4,0.5,0.389,1,2,0.5,2,4,6,0,0,0,2,3,8,1.9,-3
20,20,24,14/02/2021,WAS,,BOS,"W, 104-91",,27:59:00,2,9,0.222,1,5,0.2,1,4,0.25,0.278,3,4,0.75,1,9,10,0,0,0,2,4,8,1.9,-2
21,21,25,15/02/2021,WAS,,HOU,"W, 131-119",,19:39,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,,0,3,3,0,0,0,0,5,5,1.9,6
22,22,26,17/02/2021,WAS,,DEN,"W, 130-128",,20:40,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,7,7,2,1,0,1,2,3,4,14
23,23,27,20/02/2021,WAS,@,POR,"W, 118-111",,11:05,1,1,1,0,0,,1,1,1,1,0,0,,0,3,3,0,0,0,0,2,2,1.8,-4
24,24,28,22/02/2021,WAS,@,LAL,"W, 127-124 (OT)",,22:32,3,5,0.6,2,3,0.667,1,2,0.5,0.8,0,0,,0,9,9,2,1,0,1,1,8,9.4,-4
25,25,29,23/02/2021,WAS,@,LAC,"L, 116-135",,11:31,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,2,3,0,-4.3,-13
26,26,30,25/02/2021,WAS,@,DEN,"W, 112-110",,19:31,1,1,1,0,0,,1,1,1,1,0,0,,0,2,2,1,0,0,0,0,2,3,-2
27,27,31,27/02/2021,WAS,,MIN,"W, 128-112",,20:49,1,6,0.167,0,2,0,1,4,0.25,0.167,0,0,,0,2,2,0,0,1,1,4,2,-3.1,17
28,28,32,28/02/2021,WAS,@,BOS,"L, 110-111",,6:46,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,1,0,0,3,0,-0.6,-1
29,29,33,02/03/2021,WAS,,MEM,"L, 111-125",,25:41:00,4,7,0.571,2,4,0.5,2,3,0.667,0.714,0,0,,0,7,7,1,0,0,2,0,10,7.5,6
30,30,34,04/03/2021,WAS,,LAC,"W, 119-117",,24:53:00,2,2,1,0,0,,2,2,1,1,0,0,,1,6,7,0,1,1,0,1,4,7.2,-13
31,31,35,10/03/2021,WAS,@,MEM,"L, 112-127",,24:13:00,5,8,0.625,3,5,0.6,2,3,0.667,0.813,0,0,,0,6,6,1,1,0,0,2,13,12.1,2
32,32,36,12/03/2021,WAS,,PHI,"L, 101-127",,28:16:00,2,6,0.333,0,3,0,2,3,0.667,0.333,0,0,,0,5,5,1,0,0,1,5,4,-0.2,-6
33,33,37,13/03/2021,WAS,,MIL,"L, 119-125",*,35:00:00,4,10,0.4,1,6,0.167,3,4,0.75,0.45,0,0,,1,3,4,1,1,1,1,5,9,4.6,-11
34,34,38,15/03/2021,WAS,,MIL,"L, 122-133",,31:19:00,5,9,0.556,1,4,0.25,4,5,0.8,0.611,0,0,,0,6,6,2,0,0,1,3,11,7.7,8
35,35,39,17/03/2021,WAS,,SAC,"L, 119-121",,17:44,3,5,0.6,0,2,0,3,3,1,0.6,0,0,,0,2,2,1,0,1,1,2,6,3.9,-2
36,36,40,18/03/2021,WAS,,UTA,"W, 131-122",,20:23,0,3,0,0,3,0,0,0,,0,2,2,1,0,4,4,1,0,0,0,3,2,0.6,2
37,37,41,21/03/2021,WAS,@,BRK,"L, 106-113",,11:07,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-18
38,38,42,23/03/2021,WAS,@,NYK,"L, 113-131",,21:47,5,7,0.714,2,4,0.5,3,3,1,0.857,2,3,0.667,1,3,4,0,0,0,0,6,14,9.9,-5
39,39,43,25/03/2021,WAS,@,NYK,"L, 102-106",,10:55,0,4,0,0,1,0,0,3,0,0,0,0,,0,2,2,0,0,1,0,4,0,-3.1,-1
40,40,44,27/03/2021,WAS,,DET,"W, 106-92",*,26:51:00,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,0,,1,4,5,2,2,0,0,0,5,6.9,2
41,41,45,29/03/2021,WAS,,IND,"W, 132-124",*,31:31:00,4,6,0.667,2,3,0.667,2,3,0.667,0.833,2,2,1,0,8,8,1,0,0,0,2,12,11.7,11
42,42,46,30/03/2021,WAS,,CHO,"L, 104-114",*,32:10:00,1,10,0.1,1,7,0.143,0,3,0,0.15,0,0,,0,8,8,0,0,1,1,6,3,-3.9,-3
43,43,47,01/04/2021,WAS,@,DET,"L, 91-120",*,33:58:00,4,10,0.4,1,4,0.25,3,6,0.5,0.45,2,5,0.4,0,10,10,1,1,0,1,3,11,6.9,-31
44,44,48,03/04/2021,WAS,,DAL,"L, 87-109",*,39:21:00,4,11,0.364,0,4,0,4,7,0.571,0.364,1,1,1,1,7,8,1,0,0,0,3,9,5.2,-19
45,45,49,05/04/2021,WAS,@,TOR,"L, 101-103",*,39:39:00,4,10,0.4,2,6,0.333,2,4,0.5,0.5,2,2,1,2,8,10,1,0,1,0,1,12,11.4,8
46,46,50,07/04/2021,WAS,@,ORL,"W, 131-116",*,29:31:00,6,10,0.6,4,7,0.571,2,3,0.667,0.8,0,0,,0,5,5,2,0,0,0,2,16,13.5,19
47,47,51,09/04/2021,WAS,@,GSW,"W, 110-107",*,21:24,0,6,0,0,3,0,0,3,0,0,2,4,0.5,1,3,4,3,2,0,0,1,2,2.3,-13
48,48,52,10/04/2021,WAS,@,PHO,"L, 106-134",*,31:17:00,2,6,0.333,2,4,0.5,0,2,0,0.5,3,4,0.75,0,6,6,2,0,0,1,4,9,5.8,-19
49,49,53,12/04/2021,WAS,@,UTA,"W, 125-121",*,9:51,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,1,0,4,0,-0.3,-5
50,50,54,14/04/2021,WAS,@,SAC,"W, 123-111",*,31:07:00,5,7,0.714,1,2,0.5,4,5,0.8,0.786,0,0,,0,4,4,0,1,1,0,2,11,10.2,-6
51,51,55,16/04/2021,WAS,,NOP,"W, 117-115 (OT)",*,20:10,0,2,0,0,2,0,0,0,,0,0,0,,0,4,4,2,1,1,0,3,0,1.7,2
52,52,56,17/04/2021,WAS,,DET,"W, 121-100",*,23:34,1,1,1,1,1,1,0,0,,1.5,0,0,,0,5,5,2,2,1,1,1,3,6.9,20
53,53,57,19/04/2021,WAS,,OKC,"W, 119-107",*,26:12:00,3,11,0.273,0,6,0,3,5,0.6,0.273,0,1,0,1,5,6,0,0,0,0,2,6,0.5,5
54,54,58,21/04/2021,WAS,,GSW,"W, 118-114",*,13:51,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1,1,2,3,0,1,0,1,0,6,4.6,9
54,,59,23/04/2021,WAS,@,OKC,"W, 129-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,60,25/04/2021,WAS,,CLE,"W, 119-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,61,26/04/2021,WAS,,SAS,"L, 143-146 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,62,28/04/2021,WAS,,LAL,"W, 116-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,63,30/04/2021,WAS,@,CLE,"W, 122-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,64,01/05/2021,WAS,@,DAL,"L, 124-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,65,03/05/2021,WAS,,IND,"W, 154-141",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,66,05/05/2021,WAS,@,MIL,"L, 134-135",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,67,06/05/2021,WAS,@,TOR,"W, 131-129 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,68,08/05/2021,WAS,@,IND,"W, 133-132 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,69,10/05/2021,WAS,@,ATL,"L, 124-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,70,12/05/2021,WAS,@,ATL,"L, 116-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,71,14/05/2021,WAS,,CLE,"W, 120-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,72,16/05/2021,WAS,,CHO,"W, 115-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,25-29,32,1260,130,312,0.417,53,168,0.315,77,144,0.535,0.502,29,45,0.644,22,240,262,63,32,15,33,140,342,4.7,-81
