Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,55,1,20/10/2021,WAS,@,TOR,"W, 98-83",,20:52,3,3,1,1,1,1,2,2,1,1.167,1,2,0.5,2,5,7,1,2,2,1,1,8,12.3,13
2,56,2,22/10/2021,WAS,,IND,"W, 135-134 (OT)",,16:43,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,2,2,1,0,0,1,2,2,-0.2,1
3,57,3,25/10/2021,WAS,@,BRK,"L, 90-104",,19:10,0,6,0,0,4,0,0,2,0,0,2,2,1,1,7,8,2,0,1,0,2,2,1.9,-6
4,58,4,27/10/2021,WAS,@,BOS,"W, 116-107",,16:54,2,2,1,1,1,1,1,1,1,1.25,3,4,0.75,0,2,2,2,0,1,0,2,8,8.9,7
5,59,5,28/10/2021,WAS,,ATL,"W, 122-111",,22:28,1,8,0.125,1,4,0.25,0,4,0,0.188,2,2,1,2,3,5,1,0,0,2,2,5,0,2
6,60,6,30/10/2021,WAS,,BOS,"W, 115-112 (2OT)",,24:08:00,1,4,0.25,0,1,0,1,3,0.333,0.25,1,2,0.5,2,5,7,0,0,2,0,2,3,3.7,-5
7,61,7,01/11/2021,WAS,@,ATL,"L, 111-118",,17:52,4,5,0.8,1,2,0.5,3,3,1,0.9,0,0,,0,2,2,0,1,1,0,2,9,8.6,8
8,62,8,03/11/2021,WAS,,TOR,"L, 100-109",,25:34:00,4,7,0.571,1,3,0.333,3,4,0.75,0.643,2,6,0.333,3,3,6,1,1,0,2,3,11,7.6,5
9,63,9,05/11/2021,WAS,,MEM,"W, 115-87",,28:20:00,2,6,0.333,0,2,0,2,4,0.5,0.333,1,4,0.25,1,6,7,3,0,1,2,2,5,2.9,10
10,64,10,07/11/2021,WAS,,MIL,"W, 101-94",,27:23:00,1,3,0.333,1,2,0.5,0,1,0,0.5,0,0,,1,8,9,4,1,1,0,2,3,8.1,10
11,65,11,10/11/2021,WAS,@,CLE,"W, 97-94",,15:33,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,1,0,0,1,0,1.2,-2
12,66,12,13/11/2021,WAS,@,ORL,"W, 104-92",,18:15,3,4,0.75,2,3,0.667,1,1,1,1,0,0,,1,5,6,1,1,1,1,0,8,10,22
13,67,13,15/11/2021,WAS,,NOP,"W, 105-100",,27:35:00,5,6,0.833,0,1,0,5,5,1,0.833,1,1,1,0,10,10,1,2,1,0,5,11,13.2,18
14,68,14,17/11/2021,WAS,@,CHO,"L, 87-97",,24:59:00,2,9,0.222,1,7,0.143,1,2,0.5,0.278,4,4,1,2,9,11,0,0,1,0,1,9,7.9,-10
15,69,15,18/11/2021,WAS,@,MIA,"L, 97-112",,19:35,2,6,0.333,2,3,0.667,0,3,0,0.5,0,0,,0,1,1,1,0,1,1,0,6,3.3,-9
16,70,16,20/11/2021,WAS,,MIA,"W, 103-100",,26:54:00,3,7,0.429,0,1,0,3,6,0.5,0.429,2,2,1,1,4,5,4,1,0,0,3,8,8.8,4
17,71,17,22/11/2021,WAS,,CHO,"L, 103-109",,18:58,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,2,0.5,0,4,4,1,0,2,1,2,6,4.4,7
18,72,18,24/11/2021,WAS,@,NOP,"L, 102-127",,24:59:00,1,5,0.2,1,2,0.5,0,3,0,0.3,0,0,,0,3,3,2,2,0,0,3,3,3,-8
19,73,19,26/11/2021,WAS,@,OKC,"W, 101-99",,21:32,4,7,0.571,1,3,0.333,3,4,0.75,0.643,0,0,,0,4,4,0,0,1,1,2,9,5.8,-3
20,74,20,27/11/2021,WAS,@,DAL,"W, 120-114",,19:14,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,1,1,1,0,0,1,3,7,2.1,-3
21,75,21,29/11/2021,WAS,@,SAS,"L, 99-116",,20:50,1,6,0.167,0,3,0,1,3,0.333,0.167,0,0,,2,2,4,0,0,0,0,3,2,-1,-9
22,76,22,01/12/2021,WAS,,MIN,"W, 115-107",,19:51,4,8,0.5,1,4,0.25,3,4,0.75,0.563,0,0,,1,6,7,1,1,1,0,3,9,8.7,9
23,77,23,03/12/2021,WAS,,CLE,"L, 101-116",,22:48,6,10,0.6,3,6,0.5,3,4,0.75,0.75,1,1,1,0,3,3,0,0,1,0,2,16,12.2,13
24,78,24,05/12/2021,WAS,@,TOR,"L, 90-102",,16:19,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,1,0,0,0,2,0,-0.5,-17
25,79,25,06/12/2021,WAS,@,IND,"L, 110-116",,16:18,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,2,1,3,3,1,0,0,3,2,3.2,1
