Rank,Games_Career,Games_Team,Date,Team,Home/Away,Opp,Result,Games_Started,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away_num,Result_type,Score,Team_Score,Opponent_Score,Win_lose_num,Games_Started_num,Games_Started_str
20.0,20.0,24.0,2021-02-14,WAS,Home,BOS,"W, 104-91",,27:59:00,2.0,9.0,0.222,1.0,5.0,0.2,1.0,4.0,0.25,0.278,3.0,4.0,0.75,1.0,9.0,10.0,0.0,0.0,0.0,2.0,4.0,8.0,1.9,-2.0,1,W, 104-91,104,91,1,0,No
21.0,21.0,25.0,2021-02-15,WAS,Home,HOU,"W, 131-119",,19:39,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,1.9,6.0,1,W, 131-119,131,119,1,0,No
22.0,22.0,26.0,2021-02-17,WAS,Home,DEN,"W, 130-128",,20:40,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,7.0,7.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,14.0,1,W, 130-128,130,128,1,0,No
23.0,23.0,27.0,2021-02-20,WAS,Away,POR,"W, 118-111",,11:05,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.8,-4.0,0,W, 118-111,118,111,1,0,No
24.0,24.0,28.0,2021-02-22,WAS,Away,LAL,"W, 127-124 (OT)",,22:32,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,0.0,,0.0,9.0,9.0,2.0,1.0,0.0,1.0,1.0,8.0,9.4,-4.0,0,W, 127-124 (OT),127,124 (OT),1,0,No
25.0,25.0,29.0,2021-02-23,WAS,Away,LAC,"L, 116-135",,11:31,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,-4.3,-13.0,0,L, 116-135,116,135,0,0,No
26.0,26.0,30.0,2021-02-25,WAS,Away,DEN,"W, 112-110",,19:31,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,-2.0,0,W, 112-110,112,110,1,0,No
27.0,27.0,31.0,2021-02-27,WAS,Home,MIN,"W, 128-112",,20:49,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,-3.1,17.0,1,W, 128-112,128,112,1,0,No
28.0,28.0,32.0,2021-02-28,WAS,Away,BOS,"L, 110-111",,6:46,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,-0.6,-1.0,0,L, 110-111,110,111,0,0,No
29.0,29.0,33.0,2021-03-02,WAS,Home,MEM,"L, 111-125",,25:41:00,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,0.0,0.0,,0.0,7.0,7.0,1.0,0.0,0.0,2.0,0.0,10.0,7.5,6.0,1,L, 111-125,111,125,0,0,No
30.0,30.0,34.0,2021-03-04,WAS,Home,LAC,"W, 119-117",,24:53:00,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,6.0,7.0,0.0,1.0,1.0,0.0,1.0,4.0,7.2,-13.0,1,W, 119-117,119,117,1,0,No
31.0,31.0,35.0,2021-03-10,WAS,Away,MEM,"L, 112-127",,24:13:00,5.0,8.0,0.625,3.0,5.0,0.6,2.0,3.0,0.667,0.813,0.0,0.0,,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,13.0,12.1,2.0,0,L, 112-127,112,127,0,0,No
32.0,32.0,36.0,2021-03-12,WAS,Home,PHI,"L, 101-127",,28:16:00,2.0,6.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,0.333,0.0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,1.0,5.0,4.0,-0.2,-6.0,1,L, 101-127,101,127,0,0,No
33.0,33.0,37.0,2021-03-13,WAS,Home,MIL,"L, 119-125",*,35:00:00,4.0,10.0,0.4,1.0,6.0,0.167,3.0,4.0,0.75,0.45,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,9.0,4.6,-11.0,1,L, 119-125,119,125,0,1,Yes
34.0,34.0,38.0,2021-03-15,WAS,Home,MIL,"L, 122-133",,31:19:00,5.0,9.0,0.556,1.0,4.0,0.25,4.0,5.0,0.8,0.611,0.0,0.0,,0.0,6.0,6.0,2.0,0.0,0.0,1.0,3.0,11.0,7.7,8.0,1,L, 122-133,122,133,0,0,No
35.0,35.0,39.0,2021-03-17,WAS,Home,SAC,"L, 119-121",,17:44,3.0,5.0,0.6,0.0,2.0,0.0,3.0,3.0,1.0,0.6,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,3.9,-2.0,1,L, 119-121,119,121,0,0,No
36.0,36.0,40.0,2021-03-18,WAS,Home,UTA,"W, 131-122",,20:23,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,0.6,2.0,1,W, 131-122,131,122,1,0,No
37.0,37.0,41.0,2021-03-21,WAS,Away,BRK,"L, 106-113",,11:07,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-18.0,0,L, 106-113,106,113,0,0,No
38.0,38.0,42.0,2021-03-23,WAS,Away,NYK,"L, 113-131",,21:47,5.0,7.0,0.714,2.0,4.0,0.5,3.0,3.0,1.0,0.857,2.0,3.0,0.667,1.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,14.0,9.9,-5.0,0,L, 113-131,113,131,0,0,No
39.0,39.0,43.0,2021-03-25,WAS,Away,NYK,"L, 102-106",,10:55,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,-3.1,-1.0,0,L, 102-106,102,106,0,0,No
40.0,40.0,44.0,2021-03-27,WAS,Home,DET,"W, 106-92",*,26:51:00,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,0.0,0.0,,1.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,6.9,2.0,1,W, 106-92,106,92,1,1,Yes
41.0,41.0,45.0,2021-03-29,WAS,Home,IND,"W, 132-124",*,31:31:00,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,2.0,2.0,1.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,2.0,12.0,11.7,11.0,1,W, 132-124,132,124,1,1,Yes
42.0,42.0,46.0,2021-03-30,WAS,Home,CHO,"L, 104-114",*,32:10:00,1.0,10.0,0.1,1.0,7.0,0.143,0.0,3.0,0.0,0.15,0.0,0.0,,0.0,8.0,8.0,0.0,0.0,1.0,1.0,6.0,3.0,-3.9,-3.0,1,L, 104-114,104,114,0,1,Yes
43.0,43.0,47.0,2021-04-01,WAS,Away,DET,"L, 91-120",*,33:58:00,4.0,10.0,0.4,1.0,4.0,0.25,3.0,6.0,0.5,0.45,2.0,5.0,0.4,0.0,10.0,10.0,1.0,1.0,0.0,1.0,3.0,11.0,6.9,-31.0,0,L, 91-120,91,120,0,1,Yes
44.0,44.0,48.0,2021-04-03,WAS,Home,DAL,"L, 87-109",*,39:21:00,4.0,11.0,0.364,0.0,4.0,0.0,4.0,7.0,0.571,0.364,1.0,1.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,3.0,9.0,5.2,-19.0,1,L, 87-109,87,109,0,1,Yes
45.0,45.0,49.0,2021-04-05,WAS,Away,TOR,"L, 101-103",*,39:39:00,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,2.0,2.0,1.0,2.0,8.0,10.0,1.0,0.0,1.0,0.0,1.0,12.0,11.4,8.0,0,L, 101-103,101,103,0,1,Yes
46.0,46.0,50.0,2021-04-07,WAS,Away,ORL,"W, 131-116",*,29:31:00,6.0,10.0,0.6,4.0,7.0,0.571,2.0,3.0,0.667,0.8,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,16.0,13.5,19.0,0,W, 131-116,131,116,1,1,Yes
47.0,47.0,51.0,2021-04-09,WAS,Away,GSW,"W, 110-107",*,21:24,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,2.3,-13.0,0,W, 110-107,110,107,1,1,Yes
48.0,48.0,52.0,2021-04-10,WAS,Away,PHO,"L, 106-134",*,31:17:00,2.0,6.0,0.333,2.0,4.0,0.5,0.0,2.0,0.0,0.5,3.0,4.0,0.75,0.0,6.0,6.0,2.0,0.0,0.0,1.0,4.0,9.0,5.8,-19.0,0,L, 106-134,106,134,0,1,Yes
49.0,49.0,53.0,2021-04-12,WAS,Away,UTA,"W, 125-121",*,9:51,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,-0.3,-5.0,0,W, 125-121,125,121,1,1,Yes
50.0,50.0,54.0,2021-04-14,WAS,Away,SAC,"W, 123-111",*,31:07:00,5.0,7.0,0.714,1.0,2.0,0.5,4.0,5.0,0.8,0.786,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,11.0,10.2,-6.0,0,W, 123-111,123,111,1,1,Yes
51.0,51.0,55.0,2021-04-16,WAS,Home,NOP,"W, 117-115 (OT)",*,20:10,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,1.7,2.0,1,W, 117-115 (OT),117,115 (OT),1,1,Yes
52.0,52.0,56.0,2021-04-17,WAS,Home,DET,"W, 121-100",*,23:34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,6.9,20.0,1,W, 121-100,121,100,1,1,Yes
53.0,53.0,57.0,2021-04-19,WAS,Home,OKC,"W, 119-107",*,26:12:00,3.0,11.0,0.273,0.0,6.0,0.0,3.0,5.0,0.6,0.273,0.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,0.5,5.0,1,W, 119-107,119,107,1,1,Yes
54.0,54.0,58.0,2021-04-21,WAS,Home,GSW,"W, 118-114",*,13:51,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,4.6,9.0,1,W, 118-114,118,114,1,1,Yes
54.0,,59.0,2021-04-23,WAS,Away,OKC,"W, 129-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,0,W, 129-109,129,109,1,0,No
54.0,,60.0,2021-04-25,WAS,Home,CLE,"W, 119-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,1,W, 119-110,119,110,1,0,No
54.0,,61.0,2021-04-26,WAS,Home,SAS,"L, 143-146 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,1,L, 143-146 (OT),143,146 (OT),0,0,No
54.0,,62.0,2021-04-28,WAS,Home,LAL,"W, 116-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,1,W, 116-107,116,107,1,0,No
54.0,,63.0,2021-04-30,WAS,Away,CLE,"W, 122-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,0,W, 122-93,122,93,1,0,No
