Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,137,1,19/10/2022,WAS,@,IND,"W, 114-107",*,7:40,1,1,1,0,0,,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,4,3.7,14
2,138,2,21/10/2022,WAS,,CHI,"W, 102-100",*,23:01,2,4,0.5,2,2,1,0,2,0,0.75,0,0,,0,10,10,4,1,1,1,5,6,8.5,16
3,139,3,23/10/2022,WAS,@,CLE,"L, 107-117 (OT)",*,14:27,1,6,0.167,0,3,0,1,3,0.333,0.167,0,0,,0,2,2,0,2,0,1,4,2,-1.8,1
4,140,4,25/10/2022,WAS,,DET,"W, 120-99",*,26:50:00,3,6,0.5,1,3,0.333,2,3,0.667,0.583,2,2,1,0,7,7,2,1,2,0,3,9,10.7,12
5,141,5,28/10/2022,WAS,,IND,"L, 117-127",*,19:58,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,0,,1,1,2,0,0,0,2,2,7,1.5,-6
6,142,6,30/10/2022,WAS,@,BOS,"L, 94-112",*,11:01,2,4,0.5,1,1,1,1,3,0.333,0.625,1,2,0.5,0,1,1,1,0,0,0,2,6,3.8,-9
7,143,7,31/10/2022,WAS,,PHI,"L, 111-118",,16:42,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,2,0,1,0,3,0,0.5,-12
8,144,8,02/11/2022,WAS,@,PHI,"W, 121-111",,28:48:00,1,3,0.333,0,1,0,1,2,0.5,0.333,3,4,0.75,1,7,8,1,0,3,0,5,5,6.5,17
9,145,9,04/11/2022,WAS,,BRK,"L, 86-128",,21:32,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,2,2,1,0,0,2,2,4,-0.2,-21
10,146,10,06/11/2022,WAS,@,MEM,"L, 97-103",*,26:03:00,2,12,0.167,0,5,0,2,7,0.286,0.167,0,0,,4,6,10,2,0,0,2,1,4,0,-16
11,147,11,07/11/2022,WAS,@,CHO,"W, 108-100",*,18:27,1,4,0.25,0,3,0,1,1,1,0.25,1,2,0.5,0,3,3,2,0,0,1,3,3,0.3,4
12,148,12,10/11/2022,WAS,,DAL,"W, 113-105",*,32:22:00,4,13,0.308,1,4,0.25,3,9,0.333,0.346,3,3,1,2,4,6,4,1,0,3,4,12,6.3,-2
13,149,13,12/11/2022,WAS,,UTA,"W, 121-112",*,34:22:00,4,6,0.667,1,2,0.5,3,4,0.75,0.75,4,4,1,1,6,7,3,3,1,2,3,13,15.5,22
14,150,14,13/11/2022,WAS,,MEM,"W, 102-92",*,33:54:00,8,16,0.5,4,7,0.571,4,9,0.444,0.625,1,3,0.333,0,2,2,5,1,0,3,4,21,12.7,4
15,151,15,16/11/2022,WAS,,OKC,"L, 120-121",*,29:34:00,4,10,0.4,2,3,0.667,2,7,0.286,0.5,2,2,1,3,4,7,2,0,2,4,5,12,6.7,1
16,152,16,18/11/2022,WAS,,MIA,"W, 107-106 (OT)",*,14:25,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,3,0,0,1,4,3,1.8,-3
17,153,17,20/11/2022,WAS,,CHO,"W, 106-102",*,31:08:00,6,11,0.545,0,3,0,6,8,0.75,0.545,0,1,0,4,9,13,1,0,1,1,2,12,11.4,7
18,154,18,23/11/2022,WAS,@,MIA,"L, 105-113",*,40:36:00,5,10,0.5,1,3,0.333,4,7,0.571,0.55,1,1,1,3,6,9,10,1,2,4,4,12,14.7,-3
19,155,19,25/11/2022,WAS,@,MIA,"L, 107-110",*,30:42:00,2,8,0.25,0,4,0,2,4,0.5,0.25,4,6,0.667,1,8,9,5,1,2,3,3,8,7.2,-2
20,156,20,27/11/2022,WAS,@,BOS,"L, 121-130",*,26:48:00,4,8,0.5,2,6,0.333,2,2,1,0.625,0,0,,0,1,1,3,1,0,0,3,10,8.2,-11
21,157,21,28/11/2022,WAS,,MIN,"W, 142-127",*,18:36,2,6,0.333,0,2,0,2,4,0.5,0.333,2,2,1,0,6,6,0,2,0,0,3,6,5.2,7
22,158,22,30/11/2022,WAS,@,BRK,"L, 107-113",*,26:05:00,3,7,0.429,0,1,0,3,6,0.5,0.429,1,2,0.5,0,5,5,3,1,1,0,4,7,6.6,-6
23,159,23,02/12/2022,WAS,@,CHO,"L, 116-117",*,8:59,0,2,0,0,0,,0,2,0,0,0,0,,1,0,1,0,0,0,2,2,0,-3.5,-17
24,160,24,04/12/2022,WAS,,LAL,"L, 119-130",*,25:10:00,3,11,0.273,1,8,0.125,2,3,0.667,0.318,0,0,,1,7,8,1,2,1,1,3,7,4.5,-14
25,161,25,07/12/2022,WAS,@,CHI,"L, 111-115",*,38:51:00,4,8,0.5,0,1,0,4,7,0.571,0.5,2,3,0.667,1,4,5,6,4,0,0,2,10,14.9,-9
26,162,26,09/12/2022,WAS,@,IND,"L, 111-121",*,39:52:00,6,11,0.545,1,5,0.2,5,6,0.833,0.591,1,2,0.5,2,7,9,4,1,0,3,4,14,11,-5
27,163,27,10/12/2022,WAS,,LAC,"L, 107-114",*,38:38:00,4,10,0.4,3,7,0.429,1,3,0.333,0.55,0,0,,0,6,6,6,0,1,1,1,11,10.9,4
28,164,28,12/12/2022,WAS,,BRK,"L, 100-112",*,26:37:00,2,4,0.5,1,3,0.333,1,1,1,0.625,3,3,1,0,7,7,1,0,0,1,4,8,6.2,-3
29,165,29,14/12/2022,WAS,@,DEN,"L, 128-141",*,28:44:00,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,,0,6,6,5,3,0,2,5,9,10,-17
30,166,30,17/12/2022,WAS,@,LAC,"L, 93-102",*,37:21:00,3,8,0.375,1,3,0.333,2,5,0.4,0.438,4,4,1,1,9,10,5,1,1,3,5,11,10.2,-17
31,167,31,18/12/2022,WAS,@,LAL,"L, 117-119",*,21:26,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,0,3,3,1,0,1,1,1,8,5.2,2
32,168,32,20/12/2022,WAS,@,PHO,"W, 113-110",*,36:12:00,4,8,0.5,2,5,0.4,2,3,0.667,0.625,6,6,1,1,9,10,4,0,1,0,4,16,17.3,11
32,,33,22/12/2022,WAS,@,UTA,"L, 112-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
32,,34,23/12/2022,WAS,@,SAC,"W, 125-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
33,169,35,27/12/2022,WAS,,PHI,"W, 116-111",,20:01,2,4,0.5,1,1,1,1,3,0.333,0.625,2,2,1,2,1,3,0,0,1,1,2,7,5.6,-5
34,170,36,28/12/2022,WAS,,PHO,"W, 127-102",,27:11:00,3,5,0.6,1,3,0.333,2,2,1,0.7,1,2,0.5,1,6,7,2,0,0,3,2,8,5.4,16
35,171,37,30/12/2022,WAS,@,ORL,"W, 119-100",,27:31:00,5,8,0.625,2,5,0.4,3,3,1,0.75,1,1,1,0,7,7,6,2,1,3,5,13,13.4,-3
36,172,38,01/01/2023,WAS,@,MIL,"W, 118-95",,28:44:00,5,12,0.417,0,3,0,5,9,0.556,0.417,1,2,0.5,4,8,12,3,2,0,4,0,11,9.5,13
37,173,39,03/01/2023,WAS,@,MIL,"L, 113-123",,28:02:00,4,7,0.571,0,3,0,4,4,1,0.571,4,4,1,2,2,4,3,1,0,2,3,12,10.6,-11
