Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,174,40,06/01/2023,WAS,@,OKC,"L, 110-127",,17:11,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,0,3,3,0,0,0,2,1,4,1.5,-11
39,175,41,09/01/2023,WAS,,NOP,"L, 112-132",,21:43,2,6,0.333,0,2,0,2,4,0.5,0.333,0,2,0,1,3,4,3,0,0,0,2,4,2.7,-9
40,176,42,11/01/2023,WAS,,CHI,"W, 100-97",*,34:48:00,3,6,0.5,1,2,0.5,2,4,0.5,0.583,2,2,1,3,17,20,3,0,0,4,3,9,10.1,1
41,177,43,13/01/2023,WAS,,NYK,"L, 108-112",,25:58:00,1,5,0.2,0,4,0,1,1,1,0.2,1,1,1,2,7,9,2,0,0,0,4,3,3.2,-2
42,178,44,16/01/2023,WAS,,GSW,"L, 118-127",,13:58,3,9,0.333,0,2,0,3,7,0.429,0.333,0,0,,2,3,5,2,0,0,2,4,6,1,-4
43,179,45,18/01/2023,WAS,@,NYK,"W, 116-105",,29:04:00,6,11,0.545,2,3,0.667,4,8,0.5,0.636,0,1,0,3,4,7,1,1,1,0,3,14,12.8,-11
44,180,46,21/01/2023,WAS,,ORL,"W, 138-118",,24:40:00,0,5,0,0,3,0,0,2,0,0,0,2,0,0,4,4,0,1,0,0,2,0,-2.9,4
45,181,47,24/01/2023,WAS,@,DAL,"W, 127-126",,32:07:00,3,5,0.6,0,1,0,3,4,0.75,0.6,9,11,0.818,2,8,10,3,3,0,1,3,15,18.6,4
46,182,48,25/01/2023,WAS,@,HOU,"W, 108-103",,29:57:00,4,13,0.308,1,4,0.25,3,9,0.333,0.346,1,2,0.5,2,8,10,3,1,1,0,3,10,8.5,7
47,183,49,28/01/2023,WAS,@,NOP,"W, 113-103",,27:21:00,5,8,0.625,1,3,0.333,4,5,0.8,0.688,4,6,0.667,0,9,9,1,2,0,1,2,15,14.2,14
48,184,50,30/01/2023,WAS,@,SAS,"W, 127-106",,33:18:00,10,12,0.833,2,2,1,8,10,0.8,0.917,3,4,0.75,1,8,9,1,1,1,2,4,25,22.1,25
49,185,51,03/02/2023,WAS,,POR,"L, 116-124",,15:01,0,8,0,0,2,0,0,6,0,0,2,2,1,1,3,4,2,0,0,0,2,2,-1.4,0
50,186,52,04/02/2023,WAS,@,BRK,"L, 123-125",,34:16:00,6,14,0.429,4,9,0.444,2,5,0.4,0.571,7,12,0.583,1,5,6,3,4,0,3,4,23,17.3,8
51,187,53,06/02/2023,WAS,,CLE,"L, 91-114",*,30:02:00,3,10,0.3,1,4,0.25,2,6,0.333,0.35,5,5,1,0,4,4,3,2,0,3,2,12,7.7,-23
52,188,54,08/02/2023,WAS,,CHO,"W, 118-104",*,36:39:00,8,13,0.615,3,5,0.6,5,8,0.625,0.731,1,1,1,1,12,13,0,0,0,1,2,20,16.6,6
53,189,55,11/02/2023,WAS,,IND,"W, 127-113",,29:52:00,7,8,0.875,1,2,0.5,6,6,1,0.938,1,2,0.5,0,6,6,3,0,1,2,2,16,14.6,16
54,190,56,13/02/2023,WAS,@,GSW,"L, 126-135",,27:13:00,3,10,0.3,1,5,0.2,2,5,0.4,0.35,0,0,,2,3,5,3,2,0,1,3,7,5.4,13
55,191,57,14/02/2023,WAS,@,POR,"W, 126-101",,18:03,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,0,3,3,3,0,0,1,1,2,1.2,6
56,192,58,16/02/2023,WAS,@,MIN,"W, 114-106",,24:12:00,3,8,0.375,0,1,0,3,7,0.429,0.375,4,5,0.8,3,6,9,4,2,0,1,4,10,11.3,12
57,193,59,24/02/2023,WAS,,NYK,"L, 109-115",,26:53:00,5,7,0.714,1,3,0.333,4,4,1,0.786,0,0,,0,7,7,5,1,0,0,0,11,14.7,9
58,194,60,26/02/2023,WAS,@,CHI,"L, 82-102",*,27:06:00,2,5,0.4,1,4,0.25,1,1,1,0.5,3,4,0.75,0,4,4,2,1,0,4,3,8,3.3,-16
59,195,61,28/02/2023,WAS,@,ATL,"W, 119-116",*,31:08:00,2,9,0.222,0,1,0,2,8,0.25,0.222,0,0,,4,9,13,0,1,0,0,1,4,4.6,2
60,196,62,02/03/2023,WAS,,TOR,"W, 119-108",,28:27:00,2,7,0.286,0,3,0,2,4,0.5,0.286,2,3,0.667,1,8,9,3,0,1,0,2,6,6.6,-3
61,197,63,04/03/2023,WAS,,TOR,"L, 109-116 (OT)",,7:20,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,0,0,0,1,3,0,-2.3,1
62,198,64,05/03/2023,WAS,,MIL,"L, 111-117",,31:07:00,5,10,0.5,2,4,0.5,3,6,0.5,0.6,5,5,1,2,4,6,2,3,0,2,4,17,15.4,-13
63,199,65,07/03/2023,WAS,@,DET,"W, 119-117",,20:45,2,2,1,1,1,1,1,1,1,1.25,2,2,1,0,5,5,2,0,0,4,4,7,3.7,6
64,200,66,08/03/2023,WAS,,ATL,"L, 120-122",,23:06,1,6,0.167,0,3,0,1,3,0.333,0.167,0,0,,1,7,8,3,0,0,3,3,2,-1.1,-14
65,201,67,10/03/2023,WAS,,ATL,"L, 107-114",,17:52,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,0,6,6,3,0,0,0,2,5,5.4,-19
66,202,68,12/03/2023,WAS,@,PHI,"L, 93-112",,23:38,1,8,0.125,0,2,0,1,6,0.167,0.125,2,2,1,0,2,2,3,0,0,0,2,4,0.7,3
67,203,69,14/03/2023,WAS,,DET,"W, 117-97",,28:15:00,6,8,0.75,1,3,0.333,5,5,1,0.813,0,0,,0,6,6,2,0,0,1,1,13,11.6,3
68,204,70,17/03/2023,WAS,@,CLE,"L, 94-117",,18:26,0,3,0,0,3,0,0,0,,0,2,4,0.5,0,1,1,3,0,0,0,2,2,0.7,2
69,205,71,18/03/2023,WAS,,SAC,"L, 118-132",,28:13:00,1,9,0.111,1,2,0.5,0,7,0,0.167,0,0,,3,8,11,6,1,0,1,1,3,5.4,-2
70,206,72,21/03/2023,WAS,@,ORL,"L, 112-122",,33:57:00,5,6,0.833,3,4,0.75,2,2,1,1.083,2,3,0.667,0,10,10,3,2,0,4,2,15,14.7,-14
71,207,73,22/03/2023,WAS,,DEN,"L, 104-118",*,31:41:00,7,9,0.778,1,2,0.5,6,7,0.857,0.833,1,2,0.5,0,8,8,6,0,0,4,1,16,14.3,-23
72,208,74,24/03/2023,WAS,,SAS,"W, 136-124",*,33:32:00,9,14,0.643,3,6,0.5,6,8,0.75,0.75,0,1,0,0,11,11,6,1,0,2,4,21,19.3,0
73,209,75,26/03/2023,WAS,@,TOR,"L, 104-114",*,34:26:00,6,13,0.462,1,4,0.25,5,9,0.556,0.5,2,4,0.5,3,6,9,7,1,0,3,2,15,13.5,3
74,210,76,28/03/2023,WAS,,BOS,"W, 130-111",*,36:31:00,10,16,0.625,2,5,0.4,8,11,0.727,0.688,3,5,0.6,0,10,10,5,1,0,4,1,25,20.1,12
75,211,77,31/03/2023,WAS,,ORL,"L, 109-116",*,31:48:00,2,14,0.143,0,6,0,2,8,0.25,0.143,2,3,0.667,0,6,6,4,0,0,1,4,6,-1.4,
76,212,78,02/04/2023,WAS,@,NYK,"L, 109-118",*,34:25:00,3,8,0.375,1,3,0.333,2,5,0.4,0.438,2,2,1,0,3,3,5,3,1,8,4,9,3.1,-3
76,,79,04/04/2023,WAS,,MIL,"L, 128-140",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,80,05/04/2023,WAS,@,ATL,"L, 116-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,81,07/04/2023,WAS,,MIA,"W, 114-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,33-43,40,2021,253,579,0.437,69,232,0.297,184,347,0.53,0.497,122,165,0.739,74,413,487,211,65,29,123,209,697,7.6,-51
