Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,288,1,23/10/2024,POR,,GSW,"L, 104-140",*,27:29:00,4,10,0.4,0,3,0,4,7,0.571,0.4,7,8,0.875,2,5,7,2,2,2,4,2,15,12.1,-13
2,289,2,25/10/2024,POR,,NOP,"L, 103-105",*,30:54:00,1,9,0.111,0,3,0,1,6,0.167,0.111,0,0,,1,5,6,6,1,2,2,1,2,2.5,2
3,290,3,27/10/2024,POR,,NOP,"W, 125-103",*,29:56:00,4,12,0.333,1,5,0.2,3,7,0.429,0.375,2,2,1,3,3,6,3,1,0,1,3,11,8.1,21
4,291,4,28/10/2024,POR,@,SAC,"L, 98-111",*,24:59:00,2,7,0.286,0,4,0,2,3,0.667,0.286,5,6,0.833,0,4,4,1,2,0,2,2,9,5.6,-21
5,292,5,30/10/2024,POR,@,LAC,"W, 106-105",*,29:02:00,3,8,0.375,1,3,0.333,2,5,0.4,0.438,6,6,1,0,10,10,2,1,2,2,2,13,12.6,-4
6,293,6,01/11/2024,POR,,OKC,"L, 114-137",*,23:00,5,10,0.5,1,3,0.333,4,7,0.571,0.55,0,1,0,1,2,3,4,1,0,6,2,11,3.9,-11
7,294,7,02/11/2024,POR,@,PHO,"L, 97-103",*,32:19:00,4,12,0.333,2,5,0.4,2,7,0.286,0.417,3,3,1,2,4,6,2,2,2,1,2,13,11.8,12
8,295,8,04/11/2024,POR,@,NOP,"W, 118-100",*,20:45,2,5,0.4,0,1,0,2,4,0.5,0.4,3,4,0.75,2,4,6,3,0,0,0,2,7,7.8,-7
9,296,9,07/11/2024,POR,@,SAS,"L, 105-118",*,24:48:00,3,5,0.6,1,3,0.333,2,2,1,0.7,2,5,0.4,2,5,7,5,0,0,1,0,9,10.9,-4
10,297,10,08/11/2024,POR,@,MIN,"L, 102-127",*,23:27,4,9,0.444,0,2,0,4,7,0.571,0.444,1,3,0.333,1,4,5,1,1,0,1,2,9,5.3,-26
11,298,11,10/11/2024,POR,,MEM,"L, 89-134",,13:26,0,5,0,0,3,0,0,2,0,0,0,0,,1,1,2,4,0,1,2,1,0,-1.4,-14
12,299,12,12/11/2024,POR,,MIN,"W, 122-108",,25:15:00,4,10,0.4,3,6,0.5,1,4,0.25,0.55,6,6,1,0,4,4,5,1,1,1,2,17,16.2,5
13,300,13,13/11/2024,POR,,MIN,"W, 106-98",,18:24,1,5,0.2,1,2,0.5,0,3,0,0.3,4,4,1,0,6,6,1,1,0,3,2,7,3.6,15
14,301,14,17/11/2024,POR,,ATL,"W, 114-110",,25:17:00,4,8,0.5,2,4,0.5,2,4,0.5,0.625,2,2,1,3,5,8,4,2,1,1,1,12,15.7,1
15,302,15,20/11/2024,POR,@,OKC,"L, 99-109",,23:39,4,10,0.4,1,3,0.333,3,7,0.429,0.45,4,7,0.571,2,4,6,1,1,1,1,2,13,9.6,-14
16,303,16,22/11/2024,POR,@,HOU,"L, 88-116",,23:26,4,9,0.444,1,3,0.333,3,6,0.5,0.5,4,5,0.8,1,5,6,1,0,0,4,3,13,5.6,-16
17,304,17,23/11/2024,POR,@,HOU,"W, 104-98",,33:23:00,4,8,0.5,2,3,0.667,2,5,0.4,0.625,4,6,0.667,2,8,10,2,1,4,3,1,14,14.8,-2
