Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
18,305,18,25/11/2024,POR,@,MEM,"L, 98-123",,31:54:00,7,16,0.438,2,7,0.286,5,9,0.556,0.5,1,2,0.5,1,7,8,6,1,1,3,4,17,12.3,-11
19,306,19,27/11/2024,POR,@,IND,"L, 114-121",*,41:09:00,6,12,0.5,2,5,0.4,4,7,0.571,0.583,2,2,1,1,4,5,7,2,0,2,3,16,15.6,-4
20,307,20,29/11/2024,POR,,SAC,"W, 115-106",*,36:40:00,7,15,0.467,4,9,0.444,3,6,0.5,0.6,2,2,1,1,8,9,5,2,1,0,3,20,20.4,12
21,308,21,01/12/2024,POR,,DAL,"L, 131-137",,28:43:00,7,12,0.583,2,4,0.5,5,8,0.625,0.667,5,5,1,0,4,4,2,1,0,4,3,21,13.8,-16
22,309,22,03/12/2024,POR,@,LAC,"L, 105-127",,22:56,6,9,0.667,3,3,1,3,6,0.5,0.833,0,0,,2,1,3,3,1,0,2,3,15,12.7,-10
23,310,23,06/12/2024,POR,,UTA,"L, 99-141",,23:39,2,9,0.222,1,5,0.2,1,4,0.25,0.278,1,2,0.5,1,4,5,2,0,1,1,2,6,2.3,-14
24,311,24,08/12/2024,POR,@,LAL,"L, 98-107",,23:17,4,7,0.571,2,3,0.667,2,4,0.5,0.714,3,4,0.75,1,3,4,2,0,0,1,3,13,10.1,-12
25,312,25,13/12/2024,POR,,SAS,"L, 116-118",,26:14:00,7,11,0.636,1,3,0.333,6,8,0.75,0.682,4,4,1,3,2,5,4,1,0,2,0,19,18.6,-8
26,313,26,15/12/2024,POR,@,PHO,"L, 109-116",,27:57:00,6,9,0.667,3,5,0.6,3,4,0.75,0.833,2,4,0.5,0,7,7,3,0,0,4,1,17,12.1,-9
27,314,27,19/12/2024,POR,,DEN,"W, 126-124",,21:03,6,9,0.667,3,6,0.5,3,3,1,0.833,4,4,1,0,2,2,1,0,1,1,3,19,14.9,-7
28,315,28,21/12/2024,POR,@,SAS,"L, 94-114",,26:54:00,2,12,0.167,1,7,0.143,1,5,0.2,0.208,2,2,1,2,4,6,4,2,0,3,2,7,3,-10
29,316,29,23/12/2024,POR,@,DAL,"L, 108-132",,22:57,6,11,0.545,2,4,0.5,4,7,0.571,0.636,5,8,0.625,4,2,6,3,0,1,2,4,19,15.1,-14
30,317,30,26/12/2024,POR,,UTA,"W, 122-120",,30:57:00,9,13,0.692,2,4,0.5,7,9,0.778,0.769,7,10,0.7,0,8,8,6,1,1,2,4,27,25,11
31,318,31,28/12/2024,POR,,DAL,"W, 126-122",*,31:26:00,6,13,0.462,0,2,0,6,11,0.545,0.462,9,11,0.818,2,3,5,5,0,0,2,3,21,16.1,-8
32,319,32,30/12/2024,POR,,PHI,"L, 103-125",*,32:56:00,5,9,0.556,2,5,0.4,3,4,0.75,0.667,5,5,1,2,5,7,2,1,0,10,3,17,6.8,-21
33,320,33,02/01/2025,POR,@,LAL,"L, 106-114",*,35:59:00,8,14,0.571,1,3,0.333,7,11,0.636,0.607,2,2,1,0,10,10,4,1,0,2,1,19,16.8,5
34,321,34,04/01/2025,POR,@,MIL,"W, 105-102",*,42:35:00,7,14,0.5,3,8,0.375,4,6,0.667,0.607,2,2,1,0,14,14,4,3,0,7,3,19,13.8,6
35,322,35,06/01/2025,POR,@,DET,"L, 115-118",*,29:27:00,6,13,0.462,1,5,0.2,5,8,0.625,0.5,1,1,1,1,3,4,3,1,0,1,3,14,9.8,8
36,323,36,08/01/2025,POR,@,NOP,"W, 119-100",*,27:04:00,10,15,0.667,4,7,0.571,6,8,0.75,0.8,2,4,0.5,3,3,6,2,1,1,3,2,26,21,24
37,324,37,09/01/2025,POR,@,DAL,"L, 111-117",*,33:55:00,4,12,0.333,1,5,0.2,3,7,0.429,0.375,0,2,0,1,7,8,4,0,0,1,2,9,5.2,-13
38,325,38,11/01/2025,POR,,MIA,"L, 98-119",*,37:19:00,5,14,0.357,1,4,0.25,4,10,0.4,0.393,4,4,1,1,11,12,5,2,1,3,1,15,14,-16
38,,39,14/01/2025,POR,,BRK,"L, 114-132",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
38,,40,16/01/2025,POR,,LAC,"L, 89-118",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
38,,41,18/01/2025,POR,,HOU,"L, 103-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
39,326,42,19/01/2025,POR,,CHI,"W, 113-102",*,35:13:00,9,16,0.563,1,4,0.25,8,12,0.667,0.594,1,1,1,2,10,12,3,3,0,4,2,20,17.1,8
40,327,43,21/01/2025,POR,@,MIA,"W, 116-107",*,38:52:00,5,11,0.455,1,6,0.167,4,5,0.8,0.5,5,10,0.5,1,9,10,5,2,0,1,1,16,15.8,4
41,328,44,23/01/2025,POR,@,ORL,"W, 101-79",*,25:41:00,5,11,0.455,0,4,0,5,7,0.714,0.455,3,6,0.5,0,5,5,5,0,0,0,3,13,9.9,15
42,329,45,24/01/2025,POR,@,CHO,"W, 102-97",*,33:44:00,3,6,0.5,1,3,0.333,2,3,0.667,0.583,11,14,0.786,0,5,5,4,4,0,5,2,18,16.3,2
43,330,46,26/01/2025,POR,,OKC,"L, 108-118",*,38:09:00,9,16,0.563,4,9,0.444,5,7,0.714,0.688,6,6,1,3,5,8,8,1,1,4,3,28,26.1,4
44,331,47,28/01/2025,POR,,MIL,"W, 125-112",*,37:55:00,10,18,0.556,3,7,0.429,7,11,0.636,0.639,7,9,0.778,3,6,9,2,2,0,5,4,30,21.3,7
45,332,48,30/01/2025,POR,,ORL,"W, 119-90",*,24:37:00,2,8,0.25,0,2,0,2,6,0.333,0.25,7,8,0.875,0,5,5,5,0,2,1,1,11,10.8,16
46,333,49,01/02/2025,POR,,PHO,"W, 127-108",*,21:52,3,7,0.429,1,4,0.25,2,3,0.667,0.5,3,3,1,0,5,5,3,0,0,0,4,10,8.3,0
47,334,50,03/02/2025,POR,,PHO,"W, 121-119 (OT)",*,43:30:00,8,12,0.667,3,6,0.5,5,6,0.833,0.792,5,5,1,0,8,8,5,1,0,4,6,24,19.3,12
48,335,51,04/02/2025,POR,,IND,"W, 112-89",*,23:20,2,9,0.222,1,6,0.167,1,3,0.333,0.278,1,2,0.5,1,3,4,1,0,0,5,0,6,-2.6,4
49,336,52,06/02/2025,POR,,SAC,"W, 108-102",*,17:42,3,6,0.5,2,4,0.5,1,2,0.5,0.667,1,2,0.5,0,4,4,0,0,0,2,2,9,4,-6
50,337,53,08/02/2025,POR,@,MIN,"L, 98-114",*,22:39,1,8,0.125,0,4,0,1,4,0.25,0.125,6,6,1,0,3,3,4,1,1,3,4,8,3.6,-2
51,338,54,10/02/2025,POR,@,DEN,"L, 117-146",*,33:43:00,5,12,0.417,2,4,0.5,3,8,0.375,0.5,4,6,0.667,2,4,6,8,1,0,2,4,16,14.4,-25
52,339,55,12/02/2025,POR,@,DEN,"L, 121-132",*,28:06:00,5,12,0.417,1,4,0.25,4,8,0.5,0.458,3,4,0.75,1,4,5,1,0,0,1,1,14,8.4,-15
53,340,56,20/02/2025,POR,,LAL,"L, 102-110",*,33:47:00,9,14,0.643,2,3,0.667,7,11,0.636,0.714,8,10,0.8,0,4,4,5,2,0,2,5,28,23.7,1
54,341,57,22/02/2025,POR,,CHO,"W, 141-88",*,23:14,6,10,0.6,1,4,0.25,5,6,0.833,0.65,2,5,0.4,1,3,4,4,1,0,2,2,15,11.8,26
55,342,58,24/02/2025,POR,@,UTA,"W, 114-112",*,35:35:00,5,15,0.333,1,5,0.2,4,10,0.4,0.367,7,11,0.636,5,9,14,5,0,0,1,5,18,14.6,19
56,343,59,26/02/2025,POR,@,WAS,"W, 129-121",*,5:42,2,4,0.5,0,1,0,2,3,0.667,0.5,1,2,0.5,1,1,2,1,0,0,2,1,5,1.9,-1
56,,60,28/02/2025,POR,@,BRK,"W, 121-102",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
57,344,61,02/03/2025,POR,@,CLE,"L, 129-133 (OT)",*,42:06:00,8,13,0.615,1,3,0.333,7,10,0.7,0.654,13,13,1,1,11,12,10,0,0,5,4,30,28.5,7
58,345,62,03/03/2025,POR,@,PHI,"W, 119-102",*,32:40:00,3,14,0.214,0,4,0,3,10,0.3,0.214,3,6,0.5,1,5,6,4,0,0,2,3,9,1,5
59,346,63,05/03/2025,POR,@,BOS,"L, 118-128",*,23:03,5,10,0.5,1,3,0.333,4,7,0.571,0.55,1,2,0.5,3,3,6,2,0,2,2,1,12,10,-21
59,,64,07/03/2025,POR,@,OKC,"L, 89-107",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
59,,65,09/03/2025,POR,,DET,"L, 112-119",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
60,347,66,10/03/2025,POR,@,GSW,"L, 120-130",*,40:36:00,11,15,0.733,5,7,0.714,6,8,0.75,0.9,7,7,1,1,15,16,6,2,0,6,2,34,32.5,-3
61,348,67,12/03/2025,POR,,NYK,"L, 113-114 (OT)",*,40:50:00,8,18,0.444,4,8,0.5,4,10,0.4,0.556,7,11,0.636,5,10,15,5,0,0,7,1,27,18.6,-2
62,349,68,16/03/2025,POR,,TOR,"W, 105-102",*,33:40:00,4,8,0.5,3,6,0.5,1,2,0.5,0.688,8,9,0.889,1,5,6,6,1,0,3,2,19,18.2,-2
63,350,69,17/03/2025,POR,,WAS,"W, 112-97",*,27:18:00,5,11,0.455,3,7,0.429,2,4,0.5,0.591,2,2,1,0,6,6,2,0,0,2,1,15,10.1,2
64,351,70,19/03/2025,POR,,MEM,"W, 115-99",*,38:45:00,9,18,0.5,5,8,0.625,4,10,0.4,0.639,8,9,0.889,3,13,16,8,0,2,4,3,31,29.4,27
65,352,71,21/03/2025,POR,,DEN,"W, 128-109",*,38:17:00,12,16,0.75,4,6,0.667,8,10,0.8,0.875,8,9,0.889,2,6,8,7,3,1,5,2,36,35.2,27
66,353,72,23/03/2025,POR,,BOS,"L, 116-129",*,38:30:00,6,16,0.375,2,6,0.333,4,10,0.4,0.438,3,3,1,1,10,11,4,1,0,1,2,17,13.9,-5
67,354,73,25/03/2025,POR,,CLE,"L, 111-122",*,37:44:00,6,17,0.353,3,9,0.333,3,8,0.375,0.441,2,6,0.333,3,7,10,6,1,0,3,2,17,11.5,-3
68,355,74,27/03/2025,POR,@,SAC,"L, 107-128",*,32:13:00,7,11,0.636,4,7,0.571,3,4,0.75,0.818,6,7,0.857,2,7,9,3,1,0,3,4,24,20.7,-18
69,356,75,30/03/2025,POR,@,NYK,"L, 93-110",*,40:34:00,14,25,0.56,2,7,0.286,12,18,0.667,0.6,3,4,0.75,0,7,7,4,3,0,3,3,33,24.4,2
70,357,76,01/04/2025,POR,@,ATL,"W, 127-113",*,38:03:00,11,21,0.524,3,8,0.375,8,13,0.615,0.595,7,8,0.875,5,10,15,10,2,0,7,3,32,28.6,22
71,358,77,03/04/2025,POR,@,TOR,"W, 112-103",*,33:29:00,10,20,0.5,2,6,0.333,8,14,0.571,0.55,4,4,1,7,8,15,6,2,2,7,2,26,23.1,2
72,359,78,04/04/2025,POR,@,CHI,"L, 113-118",*,35:28:00,12,25,0.48,2,7,0.286,10,18,0.556,0.52,11,14,0.786,6,5,11,5,0,0,1,3,37,30.1,-4
72,,79,06/04/2025,POR,,SAS,"W, 120-109",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
72,,80,09/04/2025,POR,@,UTA,"L, 126-133 (OT)",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
72,,81,11/04/2025,POR,,GSW,"L, 86-103",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
72,,82,13/04/2025,POR,,LAL,"W, 109-81",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,33-39,54,2162,402,844,0.476,125,342,0.365,277,502,0.552,0.55,290,372,0.78,110,412,522,281,71,35,196,171,1219,13.7,-78
