Game Date,Season,Matchup,Result,Minutes Played,Points,Rebounds,Assists,Steals,Blocks,FG%,3P%,FT%
2024-11-10,2024-25,POR vs. MEM,L,13,0,2,4,0,1,0.0,0.0,0.0
2024-11-12,2024-25,POR vs. MIN,W,25,17,4,5,1,1,40.0,50.0,100.0
2024-11-13,2024-25,POR vs. MIN,W,18,7,6,1,1,0,20.0,50.0,100.0
2024-11-17,2024-25,POR vs. ATL,W,25,12,8,4,2,1,50.0,50.0,100.0
2024-11-20,2024-25,POR @ OKC,L,24,13,6,1,1,1,40.0,33.3,57.1
2024-11-22,2024-25,POR @ HOU,L,23,13,6,1,0,0,44.4,33.3,80.0
2024-11-23,2024-25,POR @ HOU,W,33,14,10,2,1,4,50.0,66.7,66.7
2024-11-25,2024-25,POR @ MEM,L,32,17,8,6,1,1,43.8,28.6,50.0
2024-11-27,2024-25,POR @ IND,L,41,16,5,7,2,0,50.0,40.0,100.0
2024-11-29,2024-25,POR vs. SAC,W,37,20,9,5,2,1,46.7,44.4,100.0
2024-12-01,2024-25,POR vs. DAL,L,29,21,4,2,1,0,58.3,50.0,100.0
2024-12-03,2024-25,POR @ LAC,L,23,15,3,3,1,0,66.7,100.0,0.0
2024-12-06,2024-25,POR vs. UTA,L,24,6,5,2,0,1,22.2,20.0,50.0
2024-12-08,2024-25,POR @ LAL,L,23,13,4,2,0,0,57.1,66.7,75.0
2024-12-13,2024-25,POR vs. SAS,L,26,19,5,4,1,0,63.6,33.3,100.0
2024-12-15,2024-25,POR @ PHX,L,28,17,7,3,0,0,66.7,60.0,50.0
2024-12-19,2024-25,POR vs. DEN,W,21,19,2,1,0,1,66.7,50.0,100.0
2024-12-21,2024-25,POR @ SAS,L,27,7,6,4,2,0,16.7,14.3,100.0
2024-12-23,2024-25,POR @ DAL,L,23,19,6,3,0,1,54.5,50.0,62.5
2024-12-26,2024-25,POR vs. UTA,W,31,27,8,6,1,1,69.2,50.0,70.0
2024-12-28,2024-25,POR vs. DAL,W,31,21,5,5,0,0,46.2,0.0,81.8
2024-12-30,2024-25,POR vs. PHI,L,33,17,7,2,1,0,55.6,40.0,100.0
2025-01-02,2024-25,POR @ LAL,L,36,19,10,4,1,0,57.1,33.3,100.0
2025-01-04,2024-25,POR @ MIL,W,43,19,14,4,3,0,50.0,37.5,100.0
2025-01-06,2024-25,POR @ DET,L,29,14,4,3,1,0,46.2,20.0,100.0
2025-01-08,2024-25,POR @ NOP,W,27,26,6,2,1,1,66.7,57.1,50.0
2025-01-09,2024-25,POR @ DAL,L,34,9,8,4,0,0,33.3,20.0,0.0
2025-01-11,2024-25,POR vs. MIA,L,37,15,12,5,2,1,35.7,25.0,100.0
2025-01-19,2024-25,POR vs. CHI,W,35,20,12,3,3,0,56.3,25.0,100.0
2025-01-21,2024-25,POR @ MIA,W,39,16,10,5,2,0,45.5,16.7,50.0
2025-01-23,2024-25,POR @ ORL,W,26,13,5,5,0,0,45.5,0.0,50.0
2025-01-24,2024-25,POR @ CHA,W,34,18,5,4,4,0,50.0,33.3,78.6
2025-01-26,2024-25,POR vs. OKC,L,38,28,8,8,1,1,56.3,44.4,100.0
2025-01-28,2024-25,POR vs. MIL,W,38,30,9,2,2,0,55.6,42.9,77.8
2025-01-30,2024-25,POR vs. ORL,W,25,11,5,5,0,2,25.0,0.0,87.5
2025-02-01,2024-25,POR vs. PHX,W,22,10,5,3,0,0,42.9,25.0,100.0
2025-02-03,2024-25,POR vs. PHX,W,43,24,8,5,1,0,66.7,50.0,100.0
2025-02-04,2024-25,POR vs. IND,W,23,6,4,1,0,0,22.2,16.7,50.0
2025-02-06,2024-25,POR vs. SAC,W,18,9,4,0,0,0,50.0,50.0,50.0
2025-02-08,2024-25,POR @ MIN,L,23,8,3,4,1,1,12.5,0.0,100.0
2025-02-10,2024-25,POR @ DEN,L,34,16,6,8,1,0,41.7,50.0,66.7
2025-02-12,2024-25,POR @ DEN,L,28,14,5,1,0,0,41.7,25.0,75.0
2025-02-20,2024-25,POR vs. LAL,L,34,28,4,5,2,0,64.3,66.7,80.0
2025-02-22,2024-25,POR vs. CHA,W,23,15,4,4,1,0,60.0,25.0,40.0
2025-02-24,2024-25,POR @ UTA,W,36,18,14,5,0,0,33.3,20.0,63.6
2025-02-26,2024-25,POR @ WAS,W,6,5,2,1,0,0,50.0,0.0,50.0
2025-03-02,2024-25,POR @ CLE,L,42,30,12,10,0,0,61.5,33.3,100.0
2025-03-03,2024-25,POR @ PHI,W,33,9,6,4,0,0,21.4,0.0,50.0
2025-03-05,2024-25,POR @ BOS,L,23,12,6,2,0,2,50.0,33.3,50.0
2025-03-10,2024-25,POR @ GSW,L,41,34,16,6,2,0,73.3,71.4,100.0
2025-03-12,2024-25,POR vs. NYK,L,41,27,15,5,0,0,44.4,50.0,63.6
2025-03-16,2024-25,POR vs. TOR,W,34,19,6,6,1,0,50.0,50.0,88.9
2025-03-17,2024-25,POR vs. WAS,W,27,15,6,2,0,0,45.5,42.9,100.0
2025-03-19,2024-25,POR vs. MEM,W,39,31,16,8,0,2,50.0,62.5,88.9
2025-03-21,2024-25,POR vs. DEN,W,38,36,8,7,3,1,75.0,66.7,88.9
2025-03-23,2024-25,POR vs. BOS,L,39,17,11,4,1,0,37.5,33.3,100.0
2025-03-25,2024-25,POR vs. CLE,L,38,17,10,6,1,0,35.3,33.3,33.3
2025-03-27,2024-25,POR @ SAC,L,32,24,9,3,1,0,63.6,57.1,85.7
2025-03-30,2024-25,POR @ NYK,L,41,33,7,4,3,0,56.0,28.6,75.0
2025-04-01,2024-25,POR @ ATL,W,38,32,15,10,2,0,52.4,37.5,87.5
2025-04-03,2024-25,POR @ TOR,W,33,26,15,6,2,2,50.0,33.3,100.0
2025-04-04,2024-25,POR @ CHI,L,35,37,11,5,0,0,48.0,28.6,78.6
2025-10-22,2025-26,POR vs. MIN,L,33,20,7,1,0,1,37.5,0.0,80.0
2025-10-24,2025-26,POR vs. GSW,W,29,26,5,6,0,0,61.1,66.7,0.0
2025-10-26,2025-26,POR @ LAC,L,33,23,7,5,1,0,43.8,42.9,85.7
2025-10-27,2025-26,POR @ LAL,W,32,25,4,4,1,3,47.1,62.5,100.0
2025-10-29,2025-26,POR @ UTA,W,34,19,9,5,1,1,50.0,0.0,70.0
2025-10-31,2025-26,POR vs. DEN,W,33,23,4,4,0,0,53.8,50.0,77.8
2025-11-03,2025-26,POR vs. LAL,L,36,33,6,2,1,1,50.0,33.3,90.9
2025-11-05,2025-26,POR vs. OKC,W,37,26,10,9,2,1,29.4,20.0,93.8
2025-11-08,2025-26,POR @ MIA,L,37,33,11,8,0,1,57.1,33.3,85.7
2025-11-10,2025-26,POR @ ORL,L,35,27,5,5,0,1,38.9,44.4,90.0
2025-11-12,2025-26,POR @ NOP,W,35,32,1,2,1,0,66.7,50.0,80.0
2025-11-14,2025-26,POR @ HOU,L,30,22,10,4,0,0,46.7,40.0,85.7
2025-11-16,2025-26,POR @ DAL,L,39,29,6,7,0,2,50.0,28.6,100.0
2025-11-18,2025-26,POR vs. PHX,L,29,19,5,5,0,0,41.2,33.3,75.0
2025-11-19,2025-26,POR vs. CHI,L,38,32,11,11,2,1,50.0,42.9,58.3
2025-11-21,2025-26,POR @ GSW,W,40,26,6,13,0,0,42.9,28.6,92.3
2025-11-23,2025-26,POR @ OKC,L,24,11,5,1,1,0,25.0,12.5,66.7
2025-11-24,2025-26,POR @ MIL,W,31,22,4,5,0,1,46.2,71.4,62.5
2025-11-26,2025-26,POR vs. SAS,L,40,37,6,8,0,1,63.2,62.5,57.1
2025-11-30,2025-26,POR vs. OKC,L,37,31,19,10,1,0,42.9,0.0,82.6
2025-12-02,2025-26,POR @ TOR,L,37,25,8,14,0,0,40.0,42.9,66.7
2025-12-03,2025-26,POR @ CLE,W,36,27,8,7,1,0,50.0,20.0,94.1
2025-12-05,2025-26,POR @ DET,L,38,35,9,7,1,0,56.3,42.9,93.3
2025-12-07,2025-26,POR @ MEM,L,31,17,7,7,3,1,50.0,50.0,33.3
2025-12-11,2025-26,POR @ NOP,L,32,16,6,6,1,2,33.3,20.0,71.4
2025-12-14,2025-26,POR vs. GSW,W,33,26,7,8,1,0,37.5,50.0,92.3
2025-12-18,2025-26,POR vs. SAC,W,42,35,5,5,1,0,63.2,20.0,83.3
2025-12-20,2025-26,POR @ SAC,W,40,24,7,11,1,0,33.3,33.3,90.0
2025-12-22,2025-26,POR vs. DET,L,39,18,8,9,0,1,33.3,25.0,60.0
2025-12-23,2025-26,POR vs. ORL,L,37,25,6,8,2,0,40.0,33.3,75.0
2025-12-26,2025-26,POR vs. LAC,L,39,29,9,9,0,1,55.6,28.6,87.5
2025-12-28,2025-26,POR vs. BOS,W,39,24,7,10,2,1,50.0,30.0,50.0
2025-12-29,2025-26,POR vs. DAL,W,39,27,9,11,2,0,50.0,16.7,66.7
2025-12-31,2025-26,POR @ OKC,L,32,17,7,7,2,1,35.7,25.0,85.7
2026-01-02,2025-26,POR @ NOP,W,38,34,7,11,1,1,52.6,60.0,78.6
2026-01-03,2025-26,POR @ SAS,W,39,29,10,10,0,1,40.9,50.0,72.7
2026-01-05,2025-26,POR vs. UTA,W,29,33,8,9,0,0,52.6,40.0,90.0
