Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,360,1,22/10/2025,POR,,MIN,"L, 114-118",*,32:59:00,6,16,0.375,0,6,0,6,10,0.6,0.375,8,10,0.8,0,7,7,1,0,1,2,2,20,11.1,-2
2,361,2,24/10/2025,POR,,GSW,"W, 139-119",*,29:29:00,11,18,0.611,4,6,0.667,7,12,0.583,0.722,0,0,,2,3,5,6,0,0,3,4,26,19.7,16
3,362,3,26/10/2025,POR,@,LAC,"L, 107-114",*,32:50:00,7,16,0.438,3,7,0.429,4,9,0.444,0.531,6,7,0.857,1,6,7,5,1,0,5,2,23,15.4,-6
4,363,4,27/10/2025,POR,@,LAL,"W, 122-108",*,32:24:00,8,17,0.471,5,8,0.625,3,9,0.333,0.618,4,4,1,1,3,4,4,1,3,3,2,25,20,-2
5,364,5,29/10/2025,POR,@,UTA,"W, 136-134",*,34:03:00,6,12,0.5,0,5,0,6,7,0.857,0.5,7,10,0.7,2,7,9,5,1,1,6,3,19,13.3,6
6,365,6,31/10/2025,POR,,DEN,"W, 109-107",*,32:33:00,7,13,0.538,2,4,0.5,5,9,0.556,0.615,7,9,0.778,1,3,4,4,0,0,4,5,23,14.3,17
7,366,7,03/11/2025,POR,,LAL,"L, 115-123",*,36:12:00,10,20,0.5,3,9,0.333,7,11,0.636,0.575,10,11,0.909,1,5,6,2,1,1,5,2,33,22.1,-2
8,367,8,05/11/2025,POR,,OKC,"W, 121-119",*,36:52:00,5,17,0.294,1,5,0.2,4,12,0.333,0.324,15,16,0.938,3,7,10,9,2,1,3,3,26,24.7,6
9,368,9,08/11/2025,POR,@,MIA,"L, 131-136",*,36:33:00,12,21,0.571,3,9,0.333,9,12,0.75,0.643,6,7,0.857,1,10,11,8,0,1,3,5,33,27.7,24
10,369,10,10/11/2025,POR,@,ORL,"L, 112-115",*,35:07:00,7,18,0.389,4,9,0.444,3,9,0.333,0.5,9,10,0.9,1,4,5,5,0,1,2,5,27,18.9,-11
